Bajra,CEREAL GRAINS AND PRODUCTS,12.4,11.6,5,2.3,1.2,67.5,361,42,296,8,132,0.33,0.25,2.3,0,14.7,45.5,0
Barley,CEREAL GRAINS AND PRODUCTS,12.5,11.5,1.3,1.2,3.9,69.6,336,26,215,1.67,10,0.47,0.2,5.4,0,0,0,0
Italian Millet,CEREAL GRAINS AND PRODUCTS,11.2,12.3,4.3,3.3,8,60.9,331,31,290,2.8,32,0.59,0.11,3.2,0,4.2,15,0
Jowar,CEREAL GRAINS AND PRODUCTS,11.9,10.4,1.9,1.6,1.6,72.6,349,25,222,4.1,47,0.37,0.13,3.1,0.21,14,20,0
Dry Maize,CEREAL GRAINS AND PRODUCTS,14.9,11.1,3.6,1.5,2.7,66.2,342,10,348,2.3,90,0.42,0.1,1.8,0,14,20,0
Tender Maize,CEREAL GRAINS AND PRODUCTS,67.1,4.7,0.9,0.8,1.9,24.6,125,9,121,1.1,32,0.11,0.17,0.6,0 ,0,0,6
Panivaragu,CEREAL GRAINS AND PRODUCTS,11.9,12.5,1.1,1.9,2.2,70.4,341,14,206,0.8,0,0.2,0.18,2.3,0 ,0,0,0
Ragi,CEREAL GRAINS AND PRODUCTS,13.1,7.3,1.3,2.7,3.6,72,328,344,283,3.9,42,0.42,0.19,1.1,0 ,52,18.3,0
Rice Parboied Handpounded,CEREAL GRAINS AND PRODUCTS,12.6,8.5,0.6,0.9,0,77.4,349,10,280,2.8,9,0.27,0.12,4,0 ,0,0,0
Rice Parboied Milled,CEREAL GRAINS AND PRODUCTS,13.3,6.4,0.4,0.7,0.2,79,346,9,143,1,0,0.21,0.05,3.8,0.24,8.9,11,0
Rice Raw Handpounded,CEREAL GRAINS AND PRODUCTS,13.3,7.5,1,0.9,0.6,76.7,346,10,190,3.2,2,0.21,0.16,3.9,0 ,0,0,0
Rice Raw Milled,CEREAL GRAINS AND PRODUCTS,13.7,6.8,0.5,0.6,0.2,78.2,345,10,160,0.7,0,0.06,0.06,1.9,0 ,4.1,8,0
Rice Bran,CEREAL GRAINS AND PRODUCTS,11,13.5,16.2,6.6,4.3,48.4,393,67,1410,35,0,2.7,0.48,29.8,0 ,0,0,0
Rice Flakes,CEREAL GRAINS AND PRODUCTS,12.2,6.6,1.2,2,0.7,77.3,346,20,238,20,0,0.21,0.05,4,0 ,0,0,0
Rice Puffed,CEREAL GRAINS AND PRODUCTS,14.7,7.5,0.1,3.8,0.3,73.6,325,23,150,6.6,0,0.21,0.01,4.1,0 ,0,0,0
Samai,CEREAL GRAINS AND PRODUCTS,11.5,7.7,4.7,1.5,7.6,67,341,17,220,9.3,0,0.3,0.09,3.2,0 ,2.2,9,0
Sanwa Millet,CEREAL GRAINS AND PRODUCTS,11.9,6.2,2.2,4.4,9.8,65.5,307,20,280,5,0,0.33,0.1,4.2,0 ,0,0,0
Varagu,CEREAL GRAINS AND PRODUCTS,12.8,8.3,1.4,2.6,9,65.9,309,27,188,0.5,0,0.33,0.09,2,0 ,7.4,23.1,0
Wheat Bulgar Parboiled,CEREAL GRAINS AND PRODUCTS,9.8,8.2,1.6,1.5,1.7,77.2,356,37,298,4.9,0,0.74,0.11,4.8,0 ,0,0,0
Wheat Whole,CEREAL GRAINS AND PRODUCTS,12.8,11.8,1.5,1.5,1.2,71.2,346,41,306,5.3,64,0.45,0.17,5.5,0.57,142,36.6,0
Wheat Flour Whole,CEREAL GRAINS AND PRODUCTS,12.2,12.1,1.7,2.7,1.9,69.4,341,48,355,4.9,29,0.49,0.17,4.3,0 ,12.1,35.8,0
Wheat Flour Refined,CEREAL GRAINS AND PRODUCTS,13.3,11,0.9,0.6,0.3,73.9,348,23,121,2.7,25,0.12,0.07,2.4,0 ,0,0,0
Wheat Germ,CEREAL GRAINS AND PRODUCTS,5.2,29.2,7.4,3.5,1.4,53.3,397,40,846,6,0,1.4,0.54,2.9,0 ,0,0,0
Wheat Semolina,CEREAL GRAINS AND PRODUCTS,0,10.4,0.8,0,0.2,74.8,348,16,102,1.6,0,0.12,0.03,1.6,0 ,0,0,0
Wheat Vermicelli,CEREAL GRAINS AND PRODUCTS,11.7,8.7,0.4,0.7,0.2,78.3,352,22,92,2,0,0.19,0.05,1.8,0 ,0,0,0
Wheat Bread Brown,CEREAL GRAINS AND PRODUCTS,39,8.8,1.4,0,1.2,49,244,18,0,2.2,0,0.21,0,2.5,0 ,0,0,0
Wheat Bread White,CEREAL GRAINS AND PRODUCTS,39,7.8,0.7,0,0.2,51.9,245,11,0,1.1,0,0.07,0,0,0 ,0,0,0
Bengal Gram Whole,PULSES AND LEGUMES,9.8,17.1,5.3,3,3.9,60.9,360,202,312,4.6,189,0.3,0.15,2.9,0 ,34,186,3
Bengal Gram Dhal,PULSES AND LEGUMES,9.9,20.8,5.6,2.7,1.2,59.8,372,56,331,5.3,129,0.48,0.18,2.4,0 ,32,147.5,1
